[2026-06-25 23:47:49] Data: {'temperature': 27.3, 'humidity': 51.68, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3914, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:51] Data: {'temperature': 27.3, 'humidity': 51.7, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3941, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:53] Data: {'temperature': 27.3, 'humidity': 51.69, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3964, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:55] Data: {'temperature': 27.3, 'humidity': 51.69, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3984, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:58] Data: {'temperature': 27.3, 'humidity': 51.68, 'lux': 1.67, 'rainDO': 1, 'rainAO': 4000, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:48:00] Data: {'temperature': 27.3, 'humidity': 51.68, 'lux': 1.67, 'rainDO': 1, 'rainAO': 4014, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:48:02] Data: {'temperature': 27.28, 'humidity': 51.68, 'lux': 1.67, 'rainDO': 1, 'rainAO': 4026, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:48:04] Data: {'temperature': 27.29, 'humidity': 51.68, 'lux': 1.67, 'rainDO': 1, 'rainAO': 4037, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:48:06] Data: {'temperature': 27.29, 'humidity': 51.69, 'lux': 1.67, 'rainDO': 1, 'rainAO': 4045, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:48:08] Data: {'temperature': 27.29, 'humidity': 51.67, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3786, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:48:10] Data: {'temperature': 27.29, 'humidity': 51.65, 'lux': 1.67, 'rainDO': 0, 'rainAO': 3311, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:48:12] Data: {'temperature': 27.29, 'humidity': 51.66, 'lux': 1.67, 'rainDO': 0, 'rainAO': 2855, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:48:15] Data: {'temperature': 27.3, 'humidity': 51.67, 'lux': 1.67, 'rainDO': 0, 'rainAO': 2063, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:48:17] Data: {'temperature': 27.3, 'humidity': 51.66, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1753, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
